,x_e,y_e,th_e,xd_e,yd_e,thd_e,x_gt,y_gt,th_gt
0,86.46312977959026,66.37162525523875,-3.1278273854833287,0.4977447553392338,0.4993607126433817,0.49936030482214955,86.48224639892578,66.359130859375,-3.140313803634337
1,85.95507844310214,67.43298536325587,-3.017309763515687,0.41422373029817294,0.6617819229132719,0.512767461276619,86.48224639892578,66.359130859375,-3.140313803634337
2,85.97268574200473,67.45610865127149,-2.997946634008255,0.41324355835600757,0.6586348355408702,0.5107858116705454,86.48224639892578,66.359130859375,-3.140313803634337
3,85.99301611382569,67.48230236319722,-2.9777761917129277,0.41307093086584656,0.6551292664964126,0.5079925814862314,86.48224639892578,66.359130859375,-3.140313803634337
4,86.24043080171585,67.15599694414296,-3.0048657772422636,0.5840820574668679,0.3843439958789849,0.46840802272780696,86.48224639892578,66.359130859375,-3.140313803634337
5,86.28848697251428,67.17300325520903,-2.9853308366365283,0.6028538732734168,0.382142518771359,0.4645391023687832,86.48224639892578,66.359130859375,-3.140313803634337
6,86.31269636290494,67.18929505818286,-2.9657475776686573,0.5955991452407304,0.3787001863144709,0.46008390711079084,86.48224639892578,66.359130859375,-3.140313803634337
7,86.36495606652508,67.52777527918148,-3.0485483902565336,0.6274641355190143,0.8316548105146606,0.31010554455261075,86.48224639892578,66.359130859375,-3.140313803634337
8,86.38967723288418,67.56300579072584,-3.0353782313300455,0.6170170531990683,0.8216785844359054,0.3064382227099715,86.48224639892578,66.359130859375,-3.140313803634337
9,86.41702779363128,67.59789764226586,-3.0223635161883995,0.6111362160012503,0.8112752804631753,0.3025619048596077,86.47581481933594,66.35912322998047,-3.1403183310081904
10,86.2184194358924,67.97778427408323,-3.048591389333376,0.21002090169080873,1.4052032304904838,0.23017519633706238,86.43087768554688,66.35906219482422,-3.1403156678471
11,86.2328978955351,68.03712695058371,-3.0388411734998106,0.2171332472441776,1.3856807681147,0.22703059767956396,86.35201263427734,66.35895538330078,-3.1403167331115363
12,86.24613462766591,68.09554996370477,-3.029245303644555,0.22142049508844955,1.3661166747201376,0.223868106490129,86.2466812133789,66.35881805419922,-3.140317265743754
13,86.10364544669474,67.72949613587976,-3.0026019611451567,-0.054488452528669046,0.5856819485334791,0.25162774569178653,86.12022399902344,66.35865783691406,-3.1403162004793184
14,86.10559540009417,67.75426590388246,-2.9919906282289213,-0.046166569132849444,0.5776449992447032,0.24812041922807457,85.97459411621094,66.35846710205078,-3.1403183310081904
15,86.10915628901999,67.77856829294889,-2.981540400576151,-0.03585693900441092,0.5696002006286728,0.24468495171923962,85.81107330322266,66.35826110839844,-3.1403183310081904
16,85.95895721087113,67.54569327531173,-2.9607989350421193,-0.29242690173604824,0.11776034749673076,0.2593925322180994,85.63118743896484,66.3580322265625,-3.1403183310081904
17,85.96206778211658,67.54834686895656,-2.9493492033634765,-0.26229038932373877,0.11226323996137332,0.2568093747277707,85.43608856201172,66.3577880859375,-3.1403188636404082
18,85.95796976701877,67.5528558690686,-2.938532035682011,-0.24722903729863838,0.11041882552105049,0.25342961155172056,85.22653198242188,66.3575210571289,-3.1403188636404082
19,85.92110914389684,67.42018364413482,-3.0010471443250593,-0.28746967196742906,-0.1165676572803593,0.12993334969522605,85.0029067993164,66.35722351074219,-3.140319396272626
20,85.94132930668299,67.41576867596194,-2.9956259638789877,-0.23154525026846529,-0.11428271748695547,0.1281947069972311,84.7654800415039,66.35692596435547,-3.1403196625887353
21,85.93701650011806,67.41093836077698,-2.990203552370358,-0.21997240587662714,-0.11287472225910139,0.1266218231832278,84.51444244384766,66.35660552978516,-3.1403196625887353
22,86.27276620273682,67.85127316370266,-2.95741053862165,0.3251653671917444,0.588267090239563,0.1682237361511232,84.25038146972656,66.35626220703125,-3.1403207278531715
23,86.3633442845994,67.87568352860214,-2.9503042760271527,0.44064785086496755,0.5804931516489067,0.1661960683997323,83.9817886352539,66.35591888427734,-3.1403207278531715
24,86.3895657939399,67.90013766465,-2.9432329641352064,0.4470914437246911,0.5734628917275715,0.16429105224640703,83.70952606201172,66.35558319091797,-3.1403207278531715
25,86.31554706307062,67.40510918032273,-2.927384735098243,0.30012558723769733,-0.22516344976665303,0.17593213705229016,83.43034362792969,66.355224609375,-3.1403209941692802
26,86.37926656419836,67.39591055981747,-2.9194651083110195,0.3738799761497043,-0.2220451793579883,0.1746043429449366,83.14240264892578,66.3548583984375,-3.1403209941692802
27,86.39985417677877,67.38643176922788,-2.9120057229501226,0.3767303065406645,-0.21960148079410544,0.17269144470021683,82.84361267089844,66.35447692871094,-3.140322325749825
28,85.88452144991352,66.5891618062046,-2.993424110371536,-0.42360603788059564,-1.3976857389251232,0.03776668519900819,82.53327178955078,66.35408782958984,-3.1403247225948063
29,85.89522437937951,66.52853844625912,-2.99206993079635,-0.3760053131146952,-1.383859447848668,0.03696920799712743,82.21014404296875,66.35366821289062,-3.1403183310081904
30,85.88343198607137,66.4692762594619,-2.9904724669172507,-0.36557009774129196,-1.3690718088374294,0.0365954565042129,81.8741455078125,66.35326385498047,-3.140302618357759
31,85.34367597202753,66.13871500847323,-2.9742981945759084,-1.1406750676395179,-1.7586589852177306,0.05791659245048683,81.52449798583984,66.35277557373047,-3.140350288941271
32,85.3154307925048,66.06846796758386,-2.9713399653473367,-1.0979343039716298,-1.732401719621495,0.058009233608332,81.16131591796875,66.3522720336914,-3.140404883743618
33,85.27440500590242,65.99425042708639,-2.968834743246805,-1.077353702880255,-1.7139997907711317,0.05742280797195774,80.78376007080078,66.35188293457031,-3.140244295129886
